layerSize,device,timestamp,value
8,1,6584.3,3997.802734375
8,1,6591.5,4180.908203125
8,1,6592.1,3850.9368896484375
8,1,6595.1,4196.1669921875
8,1,6598.2,3846.1685180664062
8,1,6600.1,4196.1669921875
8,1,6614.9,3850.9368896484375
8,1,6622.4,4165.6494140625
8,1,6633.0,3851.8905639648438
8,1,6643.5,4180.908203125
8,1,6645.1,3857.6126098632812
8,1,6647.6,4180.908203125
8,1,6647.7,3832.8170776367188
8,1,6649.6,4180.908203125
8,1,6650.7,3807.06787109375
8,1,6653.6,4211.42578125
8,1,6685.5,3824.2340087890625
8,1,6722.9,4226.6845703125
8,1,6723.0,3847.1221923828125
8,1,6732.5,4196.1669921875
8,1,6737.2,3837.58544921875
8,1,6746.2,4196.1669921875
8,1,6748.8,3853.7979125976562
8,1,6756.3,4180.908203125
8,1,6767.0,3834.7244262695312
8,1,6793.7,4150.390625
8,1,6794.3,3843.3074951171875
8,1,6800.3,4196.1669921875
8,1,6845.3,3837.58544921875
8,1,6845.7,4196.1669921875
8,1,6847.3,3855.7052612304688
8,1,6887.6,4180.908203125
8,1,6905.4,3847.1221923828125
8,1,6912.4,4196.1669921875
8,1,6920.1,3836.6317749023438
8,1,6935.7,4196.1669921875
8,1,6944.9,3844.2611694335938
8,1,6952.9,4180.908203125
8,1,6981.7,3848.0758666992188
8,1,7009.0,4180.908203125
8,1,7009.1,3874.7787475585938
8,1,7010.0,4226.6845703125
8,1,7028.3,3869.0567016601562
8,1,7029.8,4241.943359375
8,1,7029.9,3853.7979125976562
8,1,7038.9,4196.1669921875
8,1,7046.6,3848.0758666992188
8,1,7065.3,4196.1669921875
8,1,7099.2,3841.400146484375
8,1,7140.6,4196.1669921875
8,1,7143.7,3844.2611694335938
8,1,7146.6,4226.6845703125
8,1,7147.2,3847.1221923828125
8,1,7148.6,4226.6845703125
8,1,7148.7,3837.58544921875
8,1,7150.1,4165.6494140625
8,1,7181.5,3843.3074951171875
8,1,7213.2,4196.1669921875
8,1,7223.9,3825.1876831054688
8,1,7228.9,4196.1669921875
8,1,7250.1,3823.2803344726562
8,1,7255.6,4211.42578125
8,1,7259.7,3861.4273071289062
8,1,7297.0,4196.1669921875
8,1,7323.9,3847.1221923828125
8,1,7327.9,4196.1669921875
8,1,7340.6,3830.9097290039062
8,1,7370.4,4226.6845703125
8,1,7374.6,3840.4464721679688
8,1,7392.2,4196.1669921875
8,1,7412.4,3831.8634033203125
8,1,7419.9,4211.42578125
8,1,7438.2,3840.4464721679688
8,1,7477.5,4211.42578125
8,1,7495.2,3819.4656372070312
8,1,7524.9,4226.6845703125
8,1,7570.4,3864.288330078125
8,1,7574.4,4257.2021484375
8,1,7576.5,3847.1221923828125
8,1,7581.5,4180.908203125
8,1,7604.2,3872.8713989257812
8,1,7606.1,4196.1669921875
8,1,7606.2,3865.2420043945312
8,1,7609.2,4211.42578125
8,1,7610.3,3854.7515869140625
8,1,7611.2,4165.6494140625
8,1,7648.1,3835.6781005859375
8,1,7649.5,4165.6494140625
8,1,7671.9,3849.9832153320312
8,1,7704.6,4180.908203125
8,1,7709.7,3830.9097290039062
8,1,7714.7,4196.1669921875
8,1,7716.8,3861.4273071289062
8,1,7749.5,4196.1669921875
8,1,7758.7,3844.2611694335938
8,1,7760.6,4241.943359375
8,1,7760.7,3837.58544921875
8,1,7778.4,4257.2021484375
8,1,7781.0,3860.4736328125
8,1,7784.5,4180.908203125
8,1,7794.7,3847.1221923828125
8,1,7822.3,4180.908203125
8,1,7825.9,3873.8250732421875
8,1,7829.9,4211.42578125
8,1,7864.3,3821.3729858398438
8,1,7881.4,4226.6845703125
8,1,7894.6,3854.7515869140625
8,1,7904.7,4180.908203125
8,1,7928.4,3861.4273071289062
8,1,7944.5,4211.42578125
8,1,7945.6,3838.5391235351562
8,1,7977.8,4196.1669921875
8,1,7978.9,3833.770751953125
8,1,8012.1,4180.908203125
8,1,8014.2,3827.0950317382812
8,1,8016.1,4196.1669921875
8,1,8016.2,3837.58544921875
8,1,8029.3,4196.1669921875
8,1,8029.9,3853.7979125976562
8,1,8030.3,4165.6494140625
8,1,8064.2,3842.3538208007812
8,1,8083.3,4180.908203125
8,1,8091.0,3835.6781005859375
8,1,8119.1,4211.42578125
8,1,8119.7,3883.36181640625
8,1,8121.1,4241.943359375
8,1,8130.8,3837.58544921875
8,1,8172.6,4211.42578125
8,1,8196.4,3826.141357421875
8,1,8247.3,4211.42578125
8,1,8247.9,3810.882568359375
8,1,8273.6,4241.943359375
8,1,8276.2,3839.4927978515625
8,1,8279.7,4180.908203125
8,1,8294.3,3869.0567016601562
8,1,8310.4,4150.390625
8,1,8310.5,3861.4273071289062
8,1,8325.1,4287.7197265625
8,1,8328.2,3833.770751953125
