addr,event,start,end,freq,size,DR,sample
00:80:E1:15:00:0A:D5:68,TX,1731773585.252,1731773585.347,867500000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731773645.258,1731773645.353,867700000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731773705.264,1731773705.358,868500000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731773765.270,1731773765.364,867100000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731773825.275,1731773825.370,868300000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731773885.281,1731773885.376,868500000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731773945.287,1731773945.382,867900000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731774005.293,1731774005.388,867900000,18,4,
00:80:E1:15:00:0A:D5:68,RX,1731774005.293,1731774006.554,867900000,0,4,
00:80:E1:15:00:0A:D5:68,TX,1731774006.570,1731774006.665,867300000,15,4,
00:80:E1:15:00:0A:D5:68,RX,1731774006.570,1731774007.780,867300000,0,4,
00:80:E1:15:00:0A:D5:68,TX,1731774011.667,1731774011.762,867700000,15,4,
00:80:E1:15:00:0A:D5:68,RX,1731774011.667,1731774012.876,867700000,0,4,
00:80:E1:15:00:0A:D5:68,TX,1731774012.884,1731774012.979,867100000,18,4,
00:80:E1:15:00:0A:D5:68,RX,1731774312.895,1731774313.841,869525000,0,4,
00:80:E1:15:00:0A:D5:68,RX,1731774313.853,1731774321.873,869525000,0,4,
00:80:E1:15:00:0A:D5:68,RX,1731774321.886,1731774328.901,869525000,0,4,
00:80:E1:15:00:0A:D5:68,RX,1731774328.913,1731774336.935,869525000,0,4,
00:80:E1:15:00:0A:D5:68,RX,1731774336.946,1731774343.963,869525000,0,4,
00:80:E1:15:00:0A:D5:68,RX,1731774343.976,1731774351.987,869525000,0,4,
00:80:E1:15:00:0A:D5:68,RX,1731774351.999,1731774359.015,869525000,0,4,
00:80:E1:15:00:0A:D5:68,RX,1731774359.026,1731774367.050,869525000,0,4,
00:80:E1:15:00:0A:D5:68,RX,1731774367.062,1731774374.083,869525000,0,4,
00:80:E1:15:00:0A:D5:68,RX,1731774374.095,1731774381.110,869525000,0,4,
00:80:E1:15:05:AB:CF:19,TX,1731772848.974,1731772849.162,868500000,21,3,
00:80:E1:15:05:AB:CF:19,TX,1731772908.980,1731772909.167,867700000,18,3,
00:80:E1:15:05:AB:CF:19,TX,1731772968.986,1731772969.173,867900000,18,3,
00:80:E1:15:05:AB:CF:19,TX,1731773028.992,1731773029.179,867300000,18,3,
00:80:E1:15:05:AB:CF:19,TX,1731773088.998,1731773089.185,867700000,18,3,
00:80:E1:15:05:AB:CF:19,TX,1731773149.003,1731773149.191,867100000,18,3,
00:80:E1:15:05:AB:CF:19,TX,1731773209.009,1731773209.197,867100000,18,3,
00:80:E1:15:05:AB:CF:19,TX,1731773269.015,1731773269.203,868300000,18,3,
