DR,timestamp,threshold,event,device,nb_ED,seed,objSize,distance,fport,policy
ALL,1358.299273964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,1358.299273964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,1379.016841964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,1379.016841964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,1379.016841964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,1379.016841964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,1399.734409964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,1399.734409964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,1399.734409964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,1399.734409964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,1420.451977964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,1420.451977964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,1420.451977964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,1420.451977964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,1441.169545964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,1441.169545964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,1441.169545964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,1441.169545964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,1461.887113964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,1461.887113964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,1461.887113964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,1461.887113964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,1482.604681964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,1482.604681964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,1482.604681964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,1482.604681964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,1503.322249964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,1503.322249964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,1503.322249964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,1503.322249964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,1524.039817964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,1524.039817964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,1524.039817964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,1524.039817964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,1544.757385964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,1544.757385964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,1544.757385964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,1544.757385964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,1565.474953964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,1565.474953964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,1565.474953964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,1565.474953964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,1586.192521964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,1586.192521964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,1586.192521964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,1586.192521964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,1606.910089964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,1606.910089964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,1606.910089964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,1606.910089964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,1627.627657964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,1627.627657964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,1627.627657964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,1627.627657964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,1648.345225964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,1648.345225964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,1648.345225964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,1648.345225964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,1669.062793964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,1669.062793964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,1669.062793964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,1669.062793964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,12.427008010,2000,TX,0110110|0000000000000011101001000,4,1,2000,0,28,FASTEST
ALL,17.308480010,2000,TX,0110110|0000000000000011101001001,4,1,2000,0,28,FASTEST
ALL,22.550912010,2000,TX,0110110|0000000000000011101001010,4,1,2000,0,28,FASTEST
ALL,27.344576010,2000,TX,0110110|0000000000000011101001011,4,1,2000,0,28,FASTEST
ALL,72.427008010,2000,TX,0110110|0000000000000011101001000,4,1,2000,0,28,FASTEST
ALL,77.308480010,2000,TX,0110110|0000000000000011101001001,4,1,2000,0,28,FASTEST
ALL,82.550912010,2000,TX,0110110|0000000000000011101001010,4,1,2000,0,28,FASTEST
ALL,87.344576010,2000,TX,0110110|0000000000000011101001011,4,1,2000,0,28,FASTEST
ALL,132.427008010,2000,TX,0110110|0000000000000011101001000,4,1,2000,0,28,FASTEST
ALL,137.308480010,2000,TX,0110110|0000000000000011101001001,4,1,2000,0,28,FASTEST
ALL,142.550912010,2000,TX,0110110|0000000000000011101001010,4,1,2000,0,28,FASTEST
ALL,147.344576010,2000,TX,0110110|0000000000000011101001011,4,1,2000,0,28,FASTEST
ALL,192.427008010,2000,TX,0110110|0000000000000011101001000,4,1,2000,0,28,FASTEST
ALL,197.308480010,2000,TX,0110110|0000000000000011101001001,4,1,2000,0,28,FASTEST
ALL,202.550912010,2000,TX,0110110|0000000000000011101001010,4,1,2000,0,28,FASTEST
ALL,207.344576010,2000,TX,0110110|0000000000000011101001011,4,1,2000,0,28,FASTEST
ALL,252.427008010,2000,TX,0110110|0000000000000011101001000,4,1,2000,0,28,FASTEST
ALL,257.308480010,2000,TX,0110110|0000000000000011101001001,4,1,2000,0,28,FASTEST
ALL,262.550912010,2000,TX,0110110|0000000000000011101001010,4,1,2000,0,28,FASTEST
ALL,267.344576010,2000,TX,0110110|0000000000000011101001011,4,1,2000,0,28,FASTEST
ALL,312.427008010,2000,TX,0110110|0000000000000011101001000,4,1,2000,0,28,FASTEST
ALL,316.102921740,2000,TX,0110110|0000000000000011101001001,4,1,2000,0,28,FASTEST
ALL,316.102921740,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,202,FASTEST
ALL,322.550912010,2000,TX,0110110|0000000000000011101001010,4,1,2000,0,28,FASTEST
ALL,322.947401700,2000,TX,0110110|0000000000000011101001001,4,1,2000,0,29,FASTEST
ALL,322.947401700,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,204,FASTEST
ALL,327.344576010,2000,TX,0110110|0000000000000011101001011,4,1,2000,0,28,FASTEST
